spot,mode,min_s,median_s,scenarios,scen_per_s,check,equities...
S1_river_specific,enum,0.000000,0.000000,1,6024096.4,PASS,0.000000,1.000000
S2_AhAs_vs_KhKs,enum,0.011033,0.011937,1712304,155195479.0,PASS,0.826366,0.173634
S3_weighted_norm,enum,0.019613,0.023838,3424608,174610198.7,time,0.809915,0.190085
M1_wide_vs_wide_flop,enum,0.151457,0.152159,29650500,195768435.9,time,0.510573,0.489427
M2_QQ_vs_JJ_enum,enum,0.419862,0.437452,61642944,146817256.3,time,0.819665,0.180335
M3_QQ_vs_JJ_MC,mc,3.419717,3.425326,56786944,16605743.5,time,0.819659,0.180341
M4_wide_vs_wide_MC_flop,mc,7.051305,7.174768,95899648,13600269.8,time,0.480660,0.519340
L1_TTp_AQsp_vs_99p_AJsp_exact,enum,19.330819,19.443582,2619825120,135525823.3,time,0.549673,0.450327
L2_TTp_AQsp_vs_99p_AJsp_MC,mc,9.357078,9.361607,95096832,10163090.3,time,0.549560,0.450440
L3_wide_vs_wide_MC,mc,11.057191,11.063857,95391744,8627122.8,time,0.541160,0.458840
